schema_version,experiment_id,timestamp,job_type,profile,input_dataset_id,input_hdfs_path,input_size_bytes,rng_seed,topology_workers,topology_worker_cores,topology_worker_mem_gb,total_cores,total_memory_gb,executor_cores,executor_memory,executor_instances,driver_cores,driver_memory,memory_fraction,memory_storageFraction,shuffle_compress,spill_compress,shuffle_file_buffer,broadcast_block,broadcast_compress,maxSizeInFlight,io_codec,rpc_message_maxSize,rdd_compress,run_durations_s,median_duration_s,mean_duration_s,std_duration_s,min_duration_s,max_duration_s,cv_duration,successful_runs,exit_code,error_type,spark_conf_hash,spark_conf_path,bench_log_tail_path
2,pagerank_small_2x4x8_20260424175136_1,2026-04-24T17:52:12+00:00,pagerank,small,pagerank_small_20260424_175032,/Pagerank/Input,1811191,20260424,2,4,8,8,16,4,6g,2,1,4g,0.7,0.6,True,False,128k,18m,True,48m,lz4,256,True,9.504;8.873;8.883,8.883,9.086666666666666,0.2951274677528717,8.873,9.504,0.0324791784027371,3,0,ok,4e2c354e8fc61d5855c51f5957b92360e8d2e853a81fa5fdf64b27fc39c39b1a,,
2,pagerank_small_2x4x8_20260424175212_2,2026-04-24T17:52:47+00:00,pagerank,small,pagerank_small_20260424_175032,/Pagerank/Input,1811191,20260424,2,4,8,8,16,3,5g,2,1,3g,0.5,0.4,True,False,80k,20m,False,88m,lz4,192,False,8.383;8.540;8.856,8.54,8.593,0.1967045161318539,8.383,8.856,0.0228912505681198,3,0,ok,397cb5767544e51e8e8fe7d47476fae0852c6ac6164af3b368508a1e454b2a8f,,
2,pagerank_small_2x4x8_20260424175247_3,2026-04-24T17:53:22+00:00,pagerank,small,pagerank_small_20260424_175032,/Pagerank/Input,1811191,20260424,2,4,8,8,16,2,7g,1,1,1g,0.8,0.5,False,False,64k,22m,True,48m,snappy,192,False,8.600;8.380;8.433,8.433,8.471,0.0937478888651184,8.38,8.6,0.0110669211267994,3,0,ok,667e0dce7443cc8b408dc403b4d4dd096eab7985c20dbfd614a9484d32d44af7,,
2,pagerank_small_2x4x8_20260424175322_4,2026-04-24T17:53:57+00:00,pagerank,small,pagerank_small_20260424_175032,/Pagerank/Input,1811191,20260424,2,4,8,8,16,3,4g,1,2,2g,0.5,0.8,False,False,128k,10m,False,64m,snappy,256,False,8.525;8.581;8.836,8.581,8.647333333333334,0.1353522154315261,8.525,8.836,0.0156524803906629,3,0,ok,fe69dc6a2ebf0f883bcd652a1b06e0c580feb0861d4fcca4c213f105e11f65e1,,
2,pagerank_small_2x4x8_20260424175357_5,2026-04-24T17:54:31+00:00,pagerank,small,pagerank_small_20260424_175032,/Pagerank/Input,1811191,20260424,2,4,8,8,16,2,5g,1,3,1g,0.4,0.5,False,True,80k,24m,True,88m,lz4,128,False,8.405;8.402;8.389,8.402,8.398666666666665,0.0069442222186665,8.389,8.405,0.0008268243632322,3,0,ok,e08a7908eee47f4887c64a9af082e1b3458679a47af283a522fbcf50fb75ccc1,,
2,pagerank_small_2x4x8_20260424175431_6,2026-04-24T17:55:10+00:00,pagerank,small,pagerank_small_20260424_175032,/Pagerank/Input,1811191,20260424,2,4,8,8,16,2,3g,1,4,3g,0.7,0.8,True,False,64k,20m,False,56m,lz4,224,False,9.955;10.045;9.360,9.955,9.786666666666669,0.3039279885469951,9.36,10.045,0.0310553121812324,3,0,ok,875e1d826ff783ab51ae87a99fb68fd9afd336072c47f1eb881e1ab02ae1ea22,,
2,pagerank_small_2x4x8_20260424175510_7,2026-04-24T17:55:45+00:00,pagerank,small,pagerank_small_20260424_175032,/Pagerank/Input,1811191,20260424,2,4,8,8,16,2,8g,2,4,4g,0.3,0.5,False,True,112k,20m,True,48m,snappy,128,False,8.611;8.445;8.436,8.445,8.497333333333334,0.0804584088554801,8.436,8.611,0.0094686657212631,3,0,ok,3868fb1e7b60ff0b316ccd5d28aeb3ee5f5f92af0c5b33e3a6ac744fbfe1cbb3,,
2,pagerank_small_2x4x8_20260424175545_8,2026-04-24T17:56:21+00:00,pagerank,small,pagerank_small_20260424_175032,/Pagerank/Input,1811191,20260424,2,4,8,8,16,4,2g,2,4,1g,0.6,0.7,False,False,48k,22m,True,48m,lz4,128,True,8.697;9.206;8.944,8.944,8.949,0.2078284549013121,8.697,9.206,0.0232236512349214,3,0,ok,2e60f851ce887491dbb6da1a630dee3a33b3e023caf6b97265bc6d32793c7534,,
2,pagerank_small_2x4x8_20260424175621_9,2026-04-24T17:56:58+00:00,pagerank,small,pagerank_small_20260424_175032,/Pagerank/Input,1811191,20260424,2,4,8,8,16,1,5g,1,3,2g,0.5,0.6,True,True,64k,12m,False,48m,lz4,128,True,9.131;9.527;9.522,9.522,9.393333333333333,0.1855089096392824,9.131,9.527,0.0197489967678441,3,0,ok,137e2f0e17eac7ea32440e09a0247902d3fa7c46294b2281a953c45c4f8cde30,,
2,pagerank_small_2x4x8_20260424175658_10,2026-04-24T17:57:34+00:00,pagerank,small,pagerank_small_20260424_175032,/Pagerank/Input,1811191,20260424,2,4,8,8,16,4,7g,2,4,1g,0.5,0.4,True,False,112k,22m,False,96m,lz4,256,False,9.166;8.789;8.485,8.789,8.813333333333333,0.2785490182275927,8.485,9.166,0.0316054105401958,3,0,ok,ba98a11f0938acfb291fd9a77ad334b21d62e5c4fdc30b981cfc1a6f0f573d40,,
2,pagerank_small_2x4x8_20260424175734_11,2026-04-24T17:58:11+00:00,pagerank,small,pagerank_small_20260424_175032,/Pagerank/Input,1811191,20260424,2,4,8,8,16,1,3g,2,1,1g,0.4,0.5,False,True,64k,18m,True,72m,lz4,160,True,9.132;9.275;9.308,9.275,9.238333333333332,0.0763864444053322,9.132,9.308,0.0082684226309217,3,0,ok,18b9bdaf770883e5510927b006ccd7db66bd1abd460dbbabdf0a3b0204448a40,,
2,pagerank_small_2x4x8_20260424175811_12,2026-04-24T17:58:46+00:00,pagerank,small,pagerank_small_20260424_175032,/Pagerank/Input,1811191,20260424,2,4,8,8,16,2,5g,2,2,4g,0.4,0.3,False,True,96k,14m,True,48m,lz4,160,True,8.441;8.380;8.195,8.38,8.338666666666667,0.10459551721858,8.195,8.441,0.0125434342682978,3,0,ok,12b99253be8a20bd89d59f676f46c3dc1fd5e940c65e05db1954b360e8271cc4,,
2,pagerank_small_2x4x8_20260424175846_13,2026-04-24T17:59:21+00:00,pagerank,small,pagerank_small_20260424_175032,/Pagerank/Input,1811191,20260424,2,4,8,8,16,4,4g,1,3,2g,0.3,0.8,False,True,48k,16m,False,72m,lz4,160,True,8.861;8.935;8.576,8.861,8.790666666666667,0.1547693624576762,8.576,8.935,0.0176061006891031,3,0,ok,7e99485cb3f20e7ab6e7f1ada8f6d1ba2e57f6972d57f67f116241fed8f687be,,
2,pagerank_small_2x4x8_20260424175921_14,2026-04-24T18:00:18+00:00,pagerank,small,pagerank_small_20260424_175032,/Pagerank/Input,1811191,20260424,2,4,8,8,16,1,1g,2,2,3g,0.7,0.7,True,False,80k,14m,True,80m,snappy,192,False,17.513;14.488;15.578,15.578,15.859666666666667,1.2509085586973272,14.488,17.513,0.0788735718718758,3,0,ok,70d3efba950605e0d3bd4967d13ee815881a9e00c8a6244947e5cc17a856d638,,
2,pagerank_small_2x4x8_20260424180018_15,2026-04-24T18:00:57+00:00,pagerank,small,pagerank_small_20260424_175032,/Pagerank/Input,1811191,20260424,2,4,8,8,16,2,1g,1,4,1g,0.3,0.8,True,False,64k,10m,True,64m,snappy,256,False,9.709;9.932;10.161,9.932,9.934,0.1845336464351871,9.709,10.161,0.0185759660192457,3,0,ok,20b15b405dbe484e33d286377ac0c5e0c2abc35265bb517de80271c32ad5bf04,,
2,pagerank_small_2x4x8_20260424180057_16,2026-04-24T18:01:35+00:00,pagerank,small,pagerank_small_20260424_175032,/Pagerank/Input,1811191,20260424,2,4,8,8,16,1,7g,2,3,1g,0.7,0.4,True,True,80k,16m,False,64m,snappy,160,True,9.579;9.633;9.638,9.633,9.616666666666667,0.0267124606795317,9.579,9.638,0.0027777255472649,3,0,ok,a6241052320aa126c51952b904520e4952a946697130b130ad216c5c4f29401c,,
2,pagerank_small_2x4x8_20260424180135_17,2026-04-24T18:02:12+00:00,pagerank,small,pagerank_small_20260424_175032,/Pagerank/Input,1811191,20260424,2,4,8,8,16,1,4g,1,1,1g,0.3,0.8,True,True,80k,12m,False,72m,lz4,128,True,9.096;8.954;9.021,9.021,9.023666666666667,0.0580019156771756,8.954,9.096,0.0064277546832967,3,0,ok,1e5451259fe98c0cf3d9f8efbeab2247a04a7301949d7a9eeb825be6fc2c1a1b,,
